




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
GREEN GARDEN PCT 001          1281                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
JACKSON PCT 001               1408                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
JACKSON PCT 002               1365                          3                             0                             0                             0                             3                             2                             0                             0                             0                             2                             2                             0                             0                             0                             2                             1                             0                             0                             0                             1                             8                             
MANHATTAN PCT 001             1352                          52                            0                             3                             3                             58                            47                            0                             3                             2                             52                            44                            0                             3                             3                             50                            37                            0                             4                             2                             43                            203                           
MANHATTAN PCT 002             1472                          82                            5                             6                             1                             94                            78                            4                             4                             0                             86                            65                            5                             3                             0                             73                            72                            2                             13                            0                             87                            340                           
MANHATTAN PCT 003             1643                          43                            1                             1                             0                             45                            45                            0                             2                             2                             49                            44                            0                             1                             2                             47                            16                            0                             2                             2                             20                            161                           
MANHATTAN PCT 004             1326                          56                            0                             7                             0                             63                            57                            0                             6                             1                             64                            44                            0                             8                             1                             53                            33                            0                             2                             1                             36                            216                           
Totals:                       9847                          236                           6                             17                            4                             263                           229                           4                             15                            5                             253                           199                           5                             15                            6                             225                           159                           2                             21                            5                             187                           928                           

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              MANTENO CUSD 5 BOARD MEMBER (Vote For 4)
                                                            Mark Stauffenberg                                                                                                                                     Gale K. Dodge                                                                                                                                         Karen Brzezicki                                                                                                                                       Gina M. Erickson                                                                                                                                      Sherie Fabsits                                                                                                                                        Mary Schubert                                                                                                                                         Matthew K. Jackson                                                                                                                                    
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
WESLEY PCT 001                1447                          1                             0                             0                             0                             1                             4                             0                             0                             0                             4                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             3                             0                             0                             0                             3                             4                             0                             0                             0                             4                             13                            
Totals:                       1447                          1                             0                             0                             0                             1                             4                             0                             0                             0                             4                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             0                             0                             0                             0                             0                             3                             0                             0                             0                             3                             4                             0                             0                             0                             4                             13                            

                                                                                            MINOOKA CCSD 201 BOARD MEMBER UNEXP 2YR (Vote For 1)
                                                            Curtis H. Jebens                                                                                                                                      
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
CHANNAHON PCT 002             1532                          0                             0                             2                             0                             2                             2                             
TROY PCT 013                  1672                          300                           11                            101                           1                             413                           413                           
TROY PCT 014                  1376                          116                           1                             15                            0                             132                           132                           
TROY PCT 015                  1447                          6                             1                             2                             0                             9                             9                             
TROY PCT 017                  1457                          91                            5                             14                            2                             112                           112                           
TROY PCT 020                  1477                          188                           2                             44                            1                             235                           235                           
TROY PCT 021                  1199                          85                            2                             5                             0                             92                            92                            
TROY PCT 022                  673                           55                            1                             5                             0                             61                            61                            
Totals:                       10833                         841                           23                            188                           4                             1056                          1056                          

                                                                                                                                                                                                                                                                                                                                                                                                        MINOOKA CCSD 201 BOARD MEMBER FULL (Vote For 3)
                                                            Kristan Crouch                                                                                                                                        Mireya C. Martin                                                                                                                                      John S. Clucas                                                                                                                                        Alan Skwarczynski                                                                                                                                     Ed Cronin                                                                                                                                             
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
CHANNAHON PCT 002             1532                          0                             0                             0                             0                             0                             0                             0                             2                             0                             2                             0                             0                             2                             0                             2                             0                             0                             2                             0                             2                             0                             0                             0                             0                             0                             6                             
TROY PCT 013                  1672                          222                           7                             79                            0                             308                           126                           8                             47                            0                             181                           175                           5                             54                            0                             234                           154                           6                             47                            0                             207                           201                           9                             59                            0                             269                           1199                          
TROY PCT 014                  1376                          64                            1                             10                            0                             75                            40                            0                             6                             0                             46                            90                            1                             18                            0                             109                           82                            1                             13                            0                             96                            72                            1                             14                            0                             87                            413                           
TROY PCT 015                  1447                          4                             1                             1                             0                             6                             2                             1                             2                             0                             5                             1                             1                             1                             0                             3                             3                             0                             0                             0                             3                             5                             0                             0                             0                             5                             22                            
TROY PCT 017                  1457                          44                            4                             11                            0                             59                            34                            1                             2                             1                             38                            60                            5                             13                            2                             80                            50                            2                             8                             1                             61                            70                            5                             11                            2                             88                            326                           
TROY PCT 020                  1477                          117                           2                             29                            1                             149                           71                            1                             19                            1                             92                            121                           2                             33                            0                             156                           104                           0                             21                            1                             126                           134                           0                             31                            0                             165                           688                           
TROY PCT 021                  1199                          62                            1                             5                             0                             68                            34                            2                             4                             0                             40                            63                            2                             4                             0                             69                            49                            1                             3                             0                             53                            53                            0                             2                             0                             55                            285                           
TROY PCT 022                  673                           38                            0                             6                             0                             44                            29                            0                             4                             0                             33                            30                            0                             4                             0                             34                            44                            1                             2                             0                             47                            36                            0                             1                             0                             37                            195                           
Totals:                       10833                         551                           16                            141                           1                             709                           336                           13                            86                            2                             437                           540                           16                            129                           2                             687                           486                           11                            96                            2                             595                           571                           15                            118                           2                             706                           3134                          

                                                                                                                                                                                                                                                                                                                             MOKENA SD 159 BOARD MEMBER (Vote For 3)
                                                            Aaron Janik                                                                                                                                           Jaime Staley                                                                                                                                          No Candidate Filed                                                                                                                                    WRITE-IN                                                                                                                                              
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
FRANKFORT PCT 001             1287                          115                           3                             14                            0                             132                           114                           3                             15                            0                             132                           0                             0                             0                             0                             0                             18                            0                             1                             0                             19                            283                           
FRANKFORT PCT 002             1388                          111                           14                            24                            0                             149                           118                           14                            26                            0                             158                           0                             0                             0                             0                             0                             16                            1                             2                             0                             19                            326                           
FRANKFORT PCT 005             1235                          106                           3                             12                            0                             121                           100                           2                             12                            0                             114                           0                             0                             0                             0                             0                             8                             1                             1                             0                             10                            245                           
FRANKFORT PCT 006             1209                          133                           1                             21                            2                             157                           135                           1                             21                            1                             158                           0                             0                             0                             0                             0                             23                            0                             2                             0                             25                            340                           
FRANKFORT PCT 007             1251                          89                            1                             16                            1                             107                           90                            1                             17                            1                             109                           0                             0                             0                             0                             0                             20                            0                             1                             0                             21                            237                           
FRANKFORT PCT 011             1182                          87                            4                             29                            0                             120                           86                            4                             30                            0                             120                           0                             0                             0                             0                             0                             17                            1                             5                             0                             23                            263                           
FRANKFORT PCT 012             1208                          141                           2                             25                            0                             168                           133                           1                             25                            0                             159                           0                             0                             0                             0                             0                             13                            0                             0                             0                             13                            340                           
FRANKFORT PCT 013             1134                          70                            1                             14                            0                             85                            70                            1                             16                            0                             87                            0                             0                             0                             0                             0                             7                             0                             2                             0                             9                             181                           
FRANKFORT PCT 017             1683                          105                           8                             26                            1                             140                           110                           5                             27                            1                             143                           0                             0                             0                             0                             0                             13                            0                             2                             0                             15                            298                           
NEW LENOX PCT 007             1621                          10                            0                             0                             0                             10                            7                             0                             0                             0                             7                             0                             0                             0                             0                             0                             1                             0                             0                             0                             1                             18                            
Totals:                       13198                         967                           37                            181                           4                             1189                          963                           32                            189                           3                             1187                          0                             0                             0                             0                             0                             136                           3                             16                            0                             155                           2531                          

                                                                                                                                                                                                                                                  NAPERVILLE CUSD 203 BOARD MEMBER (Vote For 3)
                                                            Mike Jaensch                                                                                                                                          Terry Fielden                                                                                                                                         Suzyn Price                                                                                                                                           
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
DU PAGE PCT 001               1494                          152                           3                             6                             1                             162                           149                           4                             6                             1                             160                           165                           4                             11                            1                             181                           503                           
DU PAGE PCT 002               1388                          176                           2                             29                            2                             209                           169                           2                             28                            2                             201                           180                           3                             34                            3                             220                           630                           
DU PAGE PCT 003               1461                          147                           5                             16                            4                             172                           150                           5                             16                            4                             175                           164                           5                             14                            0                             183                           530                           
DU PAGE PCT 004               1132                          63                            1                             3                             0                             67                            67                            1                             3                             0                             71                            65                            1                             3                             0                             69                            207                           
DU PAGE PCT 007               1297                          152                           1                             11                            0                             164                           144                           1                             12                            0                             157                           157                           1                             12                            0                             170                           491                           
WHEATLAND PCT 008             1344                          15                            1                             0                             0                             16                            14                            1                             0                             0                             15                            12                            1                             0                             0                             13                            44                            
Totals:                       8116                          705                           13                            65                            7                             790                           693                           14                            65                            7                             779                           743                           15                            74                            4                             836                           2405                          

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         NEW LENOX SD 122 BOARD MEMBER (Vote For 3)
                                                            Jennifer C. Babbington                                                                                                                                Michele "DeGroot" Rosenfeld                                                                                                                           Jonathon (JP) Cohen                                                                                                                                   Nicole A. Swallow                                                                                                                                     Nick DiSandro                                                                                                                                         Albert H. Haring                                                                                                                                      Maureen Flanagan Broderick                                                                                                                            William Pender                                                                                                                                        
Precinct                      Registered Voters             ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  ELECTION DAY                  MAIL                          IN-PERSON                     PROVISIONAL                   Choice Total                  Total                         
HOMER PCT 017                 1452                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             
NEW LENOX PCT 001             1214                          32                            10                            3                             0                             45                            34                            10                            3                             1                             48                            27                            6                             0                             0                             33                            62                            16                            9                             4                             91                            24                            14                            4                             1                             43                            33                            11                            7                             2                             53                            37                            6                             4                             3                             50                            41                            11                            6                             4                             62                            425                           
NEW LENOX PCT 002             1214                          38                            0                             5                             0                             43                            67                            1                             15                            1                             84                            33                            0                             5                             1                             39                            66                            0                             13                            0                             79                            45                            3                             4                             0                             52                            52                            3                             13                            0                             68                            40                            0                             5                             1                             46                            56                            2                             13                            0                             71                            482                           
